caseid,weight,sample,lang,cregion,form,q1,q2,q3,q4a,q4b,q4c,q4d,q4e,q4f,q4g,q4h,q5,q6a,q6b,q6c,q6d,q6ef13,q6ff13,q6gf13,q6hf24,q6if24,q6jf24,q7a,q7b,q7c,q7e,q8,q9,q10,q14,q18a,q18bf13,q18cf24,q18d,q18ef13,q18ff24,q18g,q18h,q21a,q21b,q21c,q21e,q22c,q22d,q25,q26,q27,q28,q29a,q29b,q29c,q29d,q30,q31,q32,q33,q34,q35,q36,q37,q38,q39,q42,q43,q45,q46,q47b,q47c,q47d,q47e,q47f,q47h,q54,q55,q56,q57,q58a,q58b,q58c,q58d,relig,chr,born,attend,rq5,rq6,rq7,rq9a,rq9bf13,rq9cf24,rq9df13,rq9ef24,rq10,sex,agerec,educ2,racethn,birth_hisp,usborn,marital,income,party,partyln,ideo,employ,hlthwork,hh1rec,hh3rec,fertrec,ql1,ql1a,qc1,lc2,lc3
100002,.27,1,1,1,4,1,1,1,2,3,1,1,2,7,2,1,2,1,1,3,2, , , ,2,3,1,1,1,1,2,2,3,2,92,1, ,1,1, ,1,1,1,3,3,3,2,2,2, , , , , , , , , , , , , , , , , , ,2,2,1,1,1,2,1,1,1,1, , ,1,1,1,1,1,1,10, , ,6,4,7,2,2, ,2, ,2,3,1,35,6,1, ,1,6,8,2, ,5,3, ,1, ,0,1, , ,1, 
100004,.29,1,1,2,3,2,1,2,4,4,3,1,3,1,1,2,2,1,1,9,2,4,3,1, , , ,2,1,3,1,1,2,4,200,1,1, ,1,2, ,1,1,2,1,2,3,1,1, , , , , , , , , , , , , , , , , , ,1,1,9,1,2,1,2,2,9,1,1,1, , ,3,3,3,3,12,2, ,6,3,7,2,2,2, ,2, ,1,1,77,4,1, ,1,5,1,3,9,2,2,2,2,2,3,1, , , ,3
100011,.59,1,1,3,2,1,2,2,2,7,2,2,2,7,1, ,2,2,2,2,2, , , ,1,2,1,2,2,2,3,2,3,9,998,3, ,2,2, ,2,2,3,3,3,2,3,2,3,2,9,2,1,2,2,2,2,1,3,2,3,1,1,1,1,3,2, , , , , , , , , , , , ,2, ,3,2,3,9,13, ,2,4,1,3,1,1, ,1, ,1,2,2,60,8,1, ,1,1,10,1, ,3,3, ,2,2,0,1, , , ,3
100015,.84,1,1,3,2,1,3,2,3,3,3,1,4,1,3, ,2,1,3,2,3, , , ,1,3,2,1,1,1,3,2,4,2,70,3, ,2,1, ,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,3,1, , , , , , , , , , , , ,1,1,1,1,3,3,1, ,1,5,1,1,1,1, ,1, ,1,3,2,57,6,1, ,1,1,6,3,2,3,3, ,3,2,2,2,1, , ,2
100016,.5,1,1,3,1,1,1,3,2,1,2,1,1,1,1, ,1,1,1,1,1,1,1,1, , , ,2,2,2,1,1,1,3,80,1,1, ,1,1, ,1,1,3,3,3,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2, , , , , , , , , , ,1,2, , ,2,2,1,3,1, ,2,2,1,1,1,1,1, ,1, ,2,1,50,8,1, ,1,1,7,1, ,2,1,2,3,2,1,1, , , ,2
100026,1.25,1,1,2,3,1,2,2,3,7,1,1,2,2,7,3,2,3,2,1,9,3,9,9, , , ,9,9,1,1,1,2,3,90,2,2, ,2,1, ,2,2,2,3,1,2,2,1, , , , , , , , , , , , , , , , , , ,2,1,1,1,1,2,2,1,2,1,9, , , ,2,9,1,1,1, ,2,2,1,2,1,1,1, ,1, ,2,2,80,3,1, ,1,5,3,1, ,2,3, ,1, ,6,2, , , , 
100036,.81,1,2,1,2,2,2,1,3,4,2,3,3,2,2, ,2,9,9,9,2, , , ,9,9,3,3,2,3,3,1,2,2,80,2, ,3,2, ,2,3,3,2,3,2,2,2,1,1,2,2,1,9,9,9,9,9,1,1,1,2,2,2,2, , , , , , , , , , , , , , ,9, ,3,3,3,4,2, ,1,2,2,6,1,9, ,1, ,9,9,2,99,1,3,3, ,2,10,9,9,4,3, ,4,2,3,2,2, , , 
100037,.26,1,1,3,1,2,3,2,4,7,4,4,3,4,3, ,2,1,9,1,1,2,2,1, , , ,2,2,1,2,2,2,4,998,2,1, ,2,2, ,2,2,3,3,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,3,1, , , , , , , , , , ,1,1, , ,2,3,9,2,1, ,1,4,2,2,1,1,1, ,9, ,3,2,63,4,1, ,1,5,2,2, ,2,3, ,1, ,4,1, , ,2, 
100047,.38,1,1,1,1,2,3,3,4,3,3,3,3,1,9, ,2,3,3,2,1,2,2,1, , , ,3,3,3,3,1,3,3,90,2,2, ,1,2, ,2,1,3,3,3,2,1,2,2,2,1,1,1,1,1,1,1,9,1,1,1,2,2,1,2,1, , , , , , , , , , ,9, , , ,3,3,2,2,12,1,2,4,1,6,1,1,1, ,9, ,2,1,75,2,2, ,1,5,10,2, ,2,3, ,9,9,5,1, , , ,2
100053,.64,1,2,3,4,2,9,2,4,7,2,3,3,2,4,1,2,9,9,3,2, , , ,3,9,9,9,3,1,9,1,3,4,998,2, ,1,2, ,1,4,2,3,3,3,2,2,3, , , , , , , , , , , , , , , , , , ,2,2,9,9,2,9,2,2,2,9, , ,1,2,2,1,2,3,2, ,1,5,3,2,1,9, ,9, ,2,9,2,79,1,3,3, ,1,10,1, ,2,3, ,2,2,2,1, , , ,2
