TIME,Denmark
2008-01,3862
2008-02,3350
2008-03,3088
2008-04,2460
2008-05,2209
2008-06,2380
2008-07,1892
2008-08,1945
2008-09,2444
2008-10,3386
2008-11,3926
2008-12,3795
2009-01,3930
2009-02,3543
2009-03,3559
2009-04,2425
2009-05,2196
2009-06,2262
2009-07,2033
2009-08,2046
2009-09,2445
2009-10,3103
2009-11,3305
2009-12,3605
2010-01,4041
2010-02,3769
2010-03,3810
2010-04,3037
2010-05,2569
2010-06,1899
2010-07,1894
2010-08,2006
2010-09,2691
2010-10,3327
2010-11,3560
2010-12,4157
2011-01,4052
2011-02,3957
2011-03,3829
2011-04,2780
2011-05,2490
2011-06,2018
2011-07,1703
2011-08,1873
2011-09,1932
2011-10,2570
2011-11,2869
2011-12,3289
2012-01,3510
2012-02,3467
2012-03,2672
2012-04,2226
2012-05,1909
2012-06,1739
2012-07,1349
2012-08,1390
2012-09,2054
2012-10,2586
2012-11,2626
2012-12,3490
2013-01,3556
2013-02,3152
2013-03,3652
2013-04,2918
2013-05,2203
2013-06,2103
2013-07,1855
2013-08,1967
2013-09,2098
2013-10,2910
2013-11,3028
2013-12,3516
2014-01,4096
2014-02,3091
2014-03,2723
2014-04,2368
2014-05,2042
2014-06,1304
2014-07,1662
2014-08,2232
2014-09,1977
2014-10,1794
2014-11,2768
2014-12,3115
2015-01,3432
2015-02,2919
2015-03,1807
2015-04,2307
2015-05,2163
2015-06,1812
2015-07,1594
2015-08,1432
2015-09,1618
2015-10,1947
2015-11,2556
2015-12,3190
2016-01,3427
2016-02,2773
2016-03,2542
2016-04,2386
2016-05,1772
2016-06,1459
2016-07,1723
2016-08,1971
2016-09,1663
2016-10,2812
2016-11,3188
2016-12,3207
2017-01,3095.887
2017-02,3245.985
2017-03,3122.695
2017-04,2750.679
2017-05,2045.062
2017-06,1847.705
2017-07,1514.533
2017-08,1628.663
2017-09,1728.485
2017-10,2582.304
2017-11,2713.867
2017-12,3182.307
2018-01,3102.189
2018-02,3127.723
2018-03,3555.703
2018-04,2584.49
2018-05,1581.08
2018-06,1461.95
2018-07,1459.689
2018-08,1633.216
2018-09,2161.118
2018-10,2627.123
2018-11,2523.126
2018-12,3121.682
2019-01,3452.783
2019-02,2802.395
2019-03,3245.666
2019-04,2099.411
2019-05,2290.995
2019-06,1452.497
2019-07,1624.629
2019-08,1446.866
2019-09,2035.934
2019-10,2217.429
2019-11,2523.456
2019-12,3258.943
